관리번호,설비번호(구),설비명,수리일자,고장내용,고장부품,불량유형,조치내용,수리처,수리시간(분),수리금액,predictions,labels
M000000238,RBT-055(시팅),로봇용접기UM용접기 1호기(13),2023-01-27,로봇진입불가 RH 우측 실리더 하강 감지센서 이상,RH 우측 실리더 하강 감지센서,이상,로봇 진입이 불가능,윤동태,100,,"{'고장부품': 'RH 우측 실리더 하강 감지센서', '불량유형': '이상', '조치내용': '감지센서 조정'}","{'고장부품': 'RH 우측 실리더 하강 감지센서', '불량유형': '이상', '조치내용': '로봇 진입이 불가능'}"
Z000000001,Z000000001,기타,2023-01-27,QDC펌프 2대 분해 수리,QDC펌프,고장,분해 수리,윤동태,100,,"{'고장부품': 'QDC펌프', '불량유형': '분해', '조치내용': '수리'}","{'고장부품': 'QDC펌프', '불량유형': '고장', '조치내용': '분해 수리'}"
Z000000001,Z000000001,기타,2023-01-27,식당전등 2EA 교체,식당전등,불량,전등 2EA 교체,송명호윤동태,100,,"{'고장부품': '식당전등', '불량유형': '불량', '조치내용': '2EA 교체'}","{'고장부품': '식당전등', '불량유형': '불량', '조치내용': '전등 2EA 교체'}"
Z000000001,Z000000001,기타,2023-01-27,조립 세척 급수 파손 밸브 교체,조립 세척 급수,파손,밸브 교체,옵전수,30,,"{'고장부품': '밸브', '불량유형': '파손', '조치내용': '밸브 교체'}","{'고장부품': '조립 세척 급수', '불량유형': '파손', '조치내용': '밸브 교체'}"
M000000419,ASM-033(시팅),조립기GGB BUSH 인덱스 조립기,2023-01-28,#3 #4000-1번 하부 부시 압입핀 볼트 파손 수리,#4000-1번 하부 부시 압입핀 볼트,파손,수리,오정수윤동태,50,,"{'고장부품': '#4000-1번 하부 부시 압입핀 볼트', '불량유형': '파손', '조치내용': '수리'}","{'고장부품': '#4000-1번 하부 부시 압입핀 볼트', '불량유형': '파손', '조치내용': '수리'}"
S000000019,CNV-001,스크랩 컨베어,2023-01-28,메인컨베어 동편부위 체인 이탈 수리중,메인컨베어 동편부위 체인,이탈,체인 수리,오정수윤동태,120,,"{'고장부품': '메인컨베어 동편부위 체인', '불량유형': '이탈', '조치내용': '체인 수리중'}","{'고장부품': '메인컨베어 동편부위 체인', '불량유형': '이탈', '조치내용': '체인 수리'}"
M000000237,RBT-054,로봇용접기B16DTX 2호기,2023-01-28,RH 에어리어센서 단선 수리,RH 에어리어센서,단선,수리,윤동태,40,,"{'고장부품': 'RH 에어리어센서', '불량유형': '단선', '조치내용': '수리'}","{'고장부품': 'RH 에어리어센서', '불량유형': '단선', '조치내용': '수리'}"
M000000237,RBT-054,로봇용접기B16DTX 2호기,2023-01-28,RH 에어리어센서 단선 수리,RH 에어리어센서,단선,수리,윤동태,40,,"{'고장부품': 'RH 에어리어센서', '불량유형': '단선', '조치내용': '수리'}","{'고장부품': 'RH 에어리어센서', '불량유형': '단선', '조치내용': '수리'}"
Z000000001,Z000000001,기타,2023-01-28,1공장 마당 라인도색 준비 작업(부품이동),없음,없음,1공장 마당 라인도색 준비 작업(부품이동),오정수,240,0.0,"{'고장부품': '1공장 마당 라인도색', '불량유형': '작업 준비', '조치내용': '부품 이동'}","{'고장부품': '없음', '불량유형': '없음', '조치내용': '1공장 마당 라인도색 준비 작업(부품이동)'}"
M000000017,ASM-001,BALL SOCKET 압입기,2023-01-30,소재미진입 5mm 미진입 릴리싱 캠 스위치 조정,릴리싱 캠 스위치,미진입,조정,윤동태,30,,"{'고장부품': '릴리싱 캠 스위치', '불량유형': '소재 미진입', '조치내용': '스위치 조정'}","{'고장부품': '릴리싱 캠 스위치', '불량유형': '미진입', '조치내용': '조정'}"
M000000017,ASM-001,BALL SOCKET 압입기,2023-01-30,소재미진입 5mm 미진입 릴리싱 캠 스위치 조정,릴리싱 캠 스위치,5mm 미진입,스위치 조정,윤동태,30,,"{'고장부품': '릴리싱 캠 스위치', '불량유형': '소재 미진입', '조치내용': '스위치 조정'}","{'고장부품': '릴리싱 캠 스위치', '불량유형': '5mm 미진입', '조치내용': '스위치 조정'}"
S000000019,CNV-001,스크랩 컨베어,2023-01-30,메인컨베어 작동이상 환볼및 아웃플레이트 교체 수리중,메인컨베어,작동이상,환볼 및 아웃플레이트 교체 수리,전원,350,,"{'고장부품': '메인컨베어', '불량유형': '작동 이상', '조치내용': '환볼 및 아웃플레이트 교체 수리중'}","{'고장부품': '메인컨베어', '불량유형': '작동이상', '조치내용': '환볼 및 아웃플레이트 교체 수리'}"
S000000156,CRN-018,크레인30TON,2023-01-30,구동모터 FAN COVER 탈락 고정 작업,구동모터 FAN COVER,탈락,고정 작업,송명호,40,,"{'고장부품': '구동모터 FAN COVER', '불량유형': '탈락', '조치내용': '고정 작업'}","{'고장부품': '구동모터 FAN COVER', '불량유형': '탈락', '조치내용': '고정 작업'}"
M000000184,POP-030,파워프레스1000TON PRESS(L3),2023-01-30,트렌스파 #5번 진공이상 진공패드 및 폴대 교체,트렌스파 #5번 진공패드,진공이상,진공패드 및 폴대 교체,송명호윤동태,60,,"{'고장부품': '진공패드 및 폴대', '불량유형': '트렌스파 #5번 진공이상', '조치내용': '진공패드 및 폴대 교체'}","{'고장부품': '트렌스파 #5번 진공패드', '불량유형': '진공이상', '조치내용': '진공패드 및 폴대 교체'}"
M000000190,POP-036,파워프레스250TON PRESS (B1),2023-01-30,QDC펌프계속 동작 B5번으로 교체,QDC펌프,계속 동작,B5번으로 교체,오정수,60,,"{'고장부품': 'QDC펌프', '불량유형': '계속 동작', '조치내용': 'B5번으로 교체'}","{'고장부품': 'QDC펌프', '불량유형': '계속 동작', '조치내용': 'B5번으로 교체'}"
M000000194,POP-040,파워프레스200TON PRESS (B5),2023-01-30,QDC 펌프 B1번 수리된것 교체,QDC 펌프 B1번,고장,수리된 펌프로 교체,윤동태,40,,"{'고장부품': 'QDC 펌프 B1번', '불량유형': '고장', '조치내용': '수리 후 교체'}","{'고장부품': 'QDC 펌프 B1번', '불량유형': '고장', '조치내용': '수리된 펌프로 교체'}"
M000000266,RVT-017,리벳팅기GD,2023-01-30,스핀들 축 베어링 51309 교체중,스핀들 축 베어링,고장,베어링 교체 (51309 사용),송명호오정수,150,,"{'고장부품': '스핀들 축 베어링', '불량유형': '교체 필요', '조치내용': '베어링 교체'}","{'고장부품': '스핀들 축 베어링', '불량유형': '고장', '조치내용': '베어링 교체 (51309 사용)'}"
M000000266,RVT-017,리벳팅기GD,2023-01-30,스핀들 축 베어링 51309 교체중,스핀들 축 베어링,결함,베어링 51309 교체,송명호오정수,150,,"{'고장부품': '스핀들 축 베어링', '불량유형': '교체 필요', '조치내용': '베어링 교체'}","{'고장부품': '스핀들 축 베어링', '불량유형': '결함', '조치내용': '베어링 51309 교체'}"
S000000019,CNV-001,스크랩 컨베어,2023-01-31,메인컨베어 구동축 이탈 수리중,메인컨베어 구동축,이탈,수리중,보전반전원,300,,"{'고장부품': '메인컨베어 구동축', '불량유형': '이탈', '조치내용': '수리중'}","{'고장부품': '메인컨베어 구동축', '불량유형': '이탈', '조치내용': '수리중'}"
M000000266,RVT-017,리벳팅기GD,2023-01-31,스핀들 축 베어링교체 51309,스핀들 축,베어링 손상,베어링 교체 (51309 사용),보전반전원,150,,"{'고장부품': '스핀들 축 베어링', '불량유형': '고장', '조치내용': '베어링 교체 (51309 사용)'}","{'고장부품': '스핀들 축', '불량유형': '베어링 손상', '조치내용': '베어링 교체 (51309 사용)'}"
M000000038,ASM-029,조립기(DH 스위치 조립기),2023-02-01,3공장 보관중 위치 이동,,,3공장 보관중 위치 이동,송명호정은호,120,,"{'고장부품': '3공장', '불량유형': '보관중 위치 이동', '조치내용': '위치 이동'}","{'고장부품': nan, '불량유형': nan, '조치내용': '3공장 보관중 위치 이동'}"
M000000643,ASM-035,삼성E5D INNER COVER조립기,2023-02-01,온도센서 4.6번 콘넥터 단선 납땜 수리,온도센서 4.6번 콘넥터,단선,납땜 수리,송영호윤동태,100,,"{'고장부품': '온도센서 4.6번 콘넥터', '불량유형': '단선', '조치내용': '납땜 수리'}","{'고장부품': '온도센서 4.6번 콘넥터', '불량유형': '단선', '조치내용': '납땜 수리'}"
M000000066,E-0107(시팅),로봇용접기 ROBOT 1호기,2023-02-01,"로봇비상정지 발생,펜던트로봇프로그램불일치 수정,와이어송급 하부롤러1ea탈거","로봇 펜던트, 하부롤러","비상정지, 프로그램 불일치, 롤러 탈거","프로그램 수정, 와이어 송급, 하부 롤러 재부착",송명호윤동태정은호,100,,"{'고장부품': '펜던트로봇', '불량유형': '프로그램 불일치', '조치내용': '와이어송급 하부롤러1ea 탈거'}","{'고장부품': '로봇 펜던트, 하부롤러', '불량유형': '비상정지, 프로그램 불일치, 롤러 탈거', '조치내용': '프로그램 수정, 와이어 송급, 하부 롤러 재부착'}"
M000000085,E-0309,파워프레스80TON PRESS AMP(4),2023-02-01,"코일피닝 5mm미진입 리미트캠,캠 각도 조정",코일피닝,5mm 미진입,"리미트캠,캠 각도 조정",윤동태,30,,"{'고장부품': '코일피닝', '불량유형': '5mm 미진입', '조치내용': '리미트캠, 각도 조정'}","{'고장부품': '코일피닝', '불량유형': '5mm 미진입', '조치내용': '리미트캠,캠 각도 조정'}"
M000000093,E-0407,파워프레스600TON PRESS (L2),2023-02-01,미스피더 전선 단선 수리,미스피더 전선,단선,수리,윤동태,30,,"{'고장부품': '미스피더 전선', '불량유형': '단선', '조치내용': '수리'}","{'고장부품': '미스피더 전선', '불량유형': '단선', '조치내용': '수리'}"
S000000044,EDS-001(철거),전착도장,2023-02-01,"행거 걸이용 리프트 본체카바고정,스위치 단선 수리",행거 걸이용 리프트,,"본체카바고정, 스위치 단선 수리",송명호정은호,60,,"{'고장부품': '행거 걸이용 리프트 본체카바, 스위치', '불량유형': '단선', '조치내용': '카바 고정, 스위치 수리'}","{'고장부품': '행거 걸이용 리프트', '불량유형': nan, '조치내용': '본체카바고정, 스위치 단선 수리'}"
M000000194,POP-040,파워프레스200TON PRESS (B5),2023-02-01,클러치브레이크 솔밸브 전단에어누설 유니온 카플링 풀림 재조임,클러치브레이크 솔밸브의 유니온 카플링,에어누설 (전단),유니온 카플링 재조임,오정수윤동태,40,,"{'고장부품': '클러치브레이크 솔밸브 전단', '불량유형': '에어 누설', '조치내용': '유니온 카플링 풀림 재조임'}","{'고장부품': '클러치브레이크 솔밸브의 유니온 카플링', '불량유형': '에어누설 (전단)', '조치내용': '유니온 카플링 재조임'}"
Z000000001,Z000000001,기타,2023-02-01,검사반 냉난방 닥트 마감,검사반 냉난방 닥트,마감 불량,마감 작업 재수행,오정수,40,,"{'고장부품': '검사반 냉난방 닥트', '불량유형': '마감', '조치내용': '마감'}","{'고장부품': '검사반 냉난방 닥트', '불량유형': '마감 불량', '조치내용': '마감 작업 재수행'}"
Z000000001,Z000000001,기타,2023-02-01,본관남자 화장실 세면대 누수 수리,본관 남자 화장실 세면대,누수,세면대 수리,오정수,40,,"{'고장부품': '본관남자 화장실 세면대', '불량유형': '누수', '조치내용': '수리'}","{'고장부품': '본관 남자 화장실 세면대', '불량유형': '누수', '조치내용': '세면대 수리'}"
Z000000001,Z000000001,기타,2023-02-01,외부fan그리스주입:5대(방지시설),외부 fan,그리스 부족,그리스 주입: 5대 (방지시설),오정수윤동태,100,,"{'고장부품': '외부 fan 그리스', '불량유형': '주입 이상', '조치내용': '방지시설 사용'}","{'고장부품': '외부 fan', '불량유형': '그리스 부족', '조치내용': '그리스 주입: 5대 (방지시설)'}"
M000000078,E-0302,파워프레스150TON PRESS AMP(2),2023-02-02,nc feeder 차단기 트립 작옵용 콘센트 파손 교체,작옵용 콘센트,파손,콘센트 교체,오정수윤동태,50,,"{'고장부품': 'nc feeder 차단기', '불량유형': '트립', '조치내용': '작옵용 콘센트 파손 교체'}","{'고장부품': '작옵용 콘센트', '불량유형': '파손', '조치내용': '콘센트 교체'}"
S000000061,FOL-007,지게차전동전동지게차:생산2부팀,2023-02-02,"경광등고정 BRKT파손 제작교체,조와우이송 실린더 고정볼트 고정","경광등고정 BRKT, 조와우이송 실린더 고정볼트","파손, 고정 문제",경광등고정 BRKT 제작 교체,오정수,50,,"{'고장부품': '경광등고정 BRKT, 조와우이송 실린더 고정볼트', '불량유형': '파손', '조치내용': '제작교체, 고정볼트 고정'}","{'고장부품': '경광등고정 BRKT, 조와우이송 실린더 고정볼트', '불량유형': '파손, 고정 문제', '조치내용': '경광등고정 BRKT 제작 교체'}"
M000000169,MIL-014(이관),밀링(남선),2023-02-02,z축 down 동작이상 상하한 리미트 스위치 접점수리,상하한 리미트 스위치,z축 down 동작이상,접점 수리,송명호윤동태,150,,"{'고장부품': '상하한 리미트 스위치', '불량유형': '동작 이상', '조치내용': '접점 수리'}","{'고장부품': '상하한 리미트 스위치', '불량유형': 'z축 down 동작이상', '조치내용': '접점 수리'}"
M000000372,RVT-021,리벳팅기,2023-02-02,유압펌프 정지현상 POO1B Y축 지그 센서 단선 수리,POO1B Y축 지그 센서,단선,센서 수리,오정수윤동태,60,,"{'고장부품': 'POO1B Y축 지그 센서', '불량유형': '단선', '조치내용': '센서 수리'}","{'고장부품': 'POO1B Y축 지그 센서', '불량유형': '단선', '조치내용': '센서 수리'}"
S000000137,WWT-002,방지시설전착도장 흡착탑,2023-02-02,소음발생 v belt 내경 그리스 도포,v belt,소음 발생,그리스 도포,윤동태,30,,"{'고장부품': 'v belt', '불량유형': '소음 발생', '조치내용': '그리스 도포'}","{'고장부품': 'v belt', '불량유형': '소음 발생', '조치내용': '그리스 도포'}"
Z000000001,Z000000001,기타,2023-02-02,AAF 1라인 제품 첨소용 에어건 설치,AAF 1라인 제품 첨소용 에어건,없음,에어건 설치,오정수,50,,"{'고장부품': 'AAF 1라인 제품 첨소용 에어건', '불량유형': '설치 미비', '조치내용': '에어건 설치'}","{'고장부품': 'AAF 1라인 제품 첨소용 에어건', '불량유형': '없음', '조치내용': '에어건 설치'}"
Z000000001,Z000000001,기타,2023-02-02,E4L 라인 수동리프트 저울이탈 고정및 바퀴교체,E4L 라인 수동리프트,저울이탈,고정 및 바퀴 교체,오정수,80,,"{'고장부품': 'E4L 라인 수동리프트', '불량유형': '저울이탈', '조치내용': '고정 및 바퀴 교체'}","{'고장부품': 'E4L 라인 수동리프트', '불량유형': '저울이탈', '조치내용': '고정 및 바퀴 교체'}"
Z000000001,Z000000001,기타,2023-02-02,IK/CK BUSH 수동조랍 전등 스위치 교체,IK/CK BUSH 수동조랍 전등 스위치,스위치 고장,스위치 교체,윤동태,40,,"{'고장부품': 'IK/CK BUSH 수동조랍 전등 스위치', '불량유형': '고장', '조치내용': '스위치 교체'}","{'고장부품': 'IK/CK BUSH 수동조랍 전등 스위치', '불량유형': '스위치 고장', '조치내용': '스위치 교체'}"
Z000000001,Z000000001,기타,2023-02-02,철거된 QDC 펌프 2대 오링 교체 외수리,QDC 펌프 오링,철거,오링 교체 및 수리,윤동태,60,,"{'고장부품': 'QDC 펌프 2대', '불량유형': '오링', '조치내용': '오링 교체 및 외수리'}","{'고장부품': 'QDC 펌프 오링', '불량유형': '철거', '조치내용': '오링 교체 및 수리'}"
M000000039,ASM-030(시팅),조립기(SIDEMEMBER조립기),2023-02-03,LH 자동기동이상 HMI 작업명 미선택 재선택 ,LH 자동기동,HMI 작업명 미선택,작업명 재선택,윤동태,50,,"{'고장부품': 'HMI', '불량유형': '자동기동 이상', '조치내용': '작업명 미선택 재선택'}","{'고장부품': 'LH 자동기동', '불량유형': 'HMI 작업명 미선택', '조치내용': '작업명 재선택'}"
M000000040,ASM-031,조립기(IB 스위치조립기),2023-02-03,140 PT UP DOWN 감지센서 동시동작 센서 위치 교정,140 PT UP DOWN 감지센서,동시동작,센서 위치 교정,윤동태,30,,"{'고장부품': '140 PT UP DOWN 감지센서', '불량유형': ' simultanously operating', '조치내용': ' 센서 위치 교정 }","{'고장부품': '140 PT UP DOWN 감지센서', '불량유형': '동시동작', '조치내용': '센서 위치 교정'}"
M000000044,CLN-005,세척기(컨베어 자동세척라인),2023-02-03,폐수펌프 작동이상 자동운전용 릴레이 코일 소손 ,자동운전용 릴레이 코일,소손,릴레이 코일 교체,오정수윤동태,40,,"{'고장부품': '폐수펌프', '불량유형': '작동이상', '조치내용': '자동운전용 릴레이 코일 소손'}","{'고장부품': '자동운전용 릴레이 코일', '불량유형': '소손', '조치내용': '릴레이 코일 교체'}"
M000000093,E-0407,파워프레스600TON PRESS (L2),2023-02-03,"메인모터 휠니플 파손누유오일제거,펌프윤활유,클러치브레이크 부족보충",메인모터 휠니플,파손 및 누유,"오일제거, 펌프 윤활유 및 클러치브레이크 보충",송명호윤동태,350,,"{'고장부품': '메인모터 휠니플', '불량유형': '파손', '조치내용': '누유오일제거,펌프윤활유, 클러치브레이크 부족 보충'}","{'고장부품': '메인모터 휠니플', '불량유형': '파손 및 누유', '조치내용': '오일제거, 펌프 윤활유 및 클러치브레이크 보충'}"
M000000093,E-0407,파워프레스600TON PRESS (L2),2023-02-03,상부 풀리부위 윤활유 니플 파손 교체,상부 풀리부위 윤활유 니플,파손,니플 교체,오정수,40,,"{'고장부품': '상부 풀리부위 윤활유 니플', '불량유형': '파손', '조치내용': '우선 교체'}","{'고장부품': '상부 풀리부위 윤활유 니플', '불량유형': '파손', '조치내용': '니플 교체'}"
M000000126,HYP-019,유압프레스,2023-02-03,스핀들 축 상부 크렉 누유 수리예정,스핀들 축 상부,크렉 누유,수리예정,송명호윤동태,30,,"{'고장부품': '스핀들 축 상부 크렉', '불량유형': '누유', '조치내용': '수리 예정'}","{'고장부품': '스핀들 축 상부', '불량유형': '크렉 누유', '조치내용': '수리예정'}"
Z000000001,Z000000001,기타,2023-02-03,삼성 SDI  E5S HOUSING ASSY 심사 지원(생산작업),삼성 SDI E5S HOUSING ASSY,심사 불량,생산작업 지원을 통한 조치,오정수,480,,"{'고장부품': '삼성 SDI E5S HOUSING ASSY', '불량유형': '심사 지원(생산작업)', '조치내용': '심사 지원(생산작업)'}","{'고장부품': '삼성 SDI E5S HOUSING ASSY', '불량유형': '심사 불량', '조치내용': '생산작업 지원을 통한 조치'}"
Z000000001,Z000000001,기타,2023-02-03,식당입구 가건물 맨홀부위 선라이트 마감 작업,가건물 맨홀부위 선라이트,마감 결함,맨홀부위 선라이트 마감 작업,오정수,60,,"{'고장부품': '식당입구 가건물 맨홀부위', '불량유형': '선라이트', '조치내용': '마감 작업'}","{'고장부품': '가건물 맨홀부위 선라이트', '불량유형': '마감 결함', '조치내용': '맨홀부위 선라이트 마감 작업'}"
M000000039,ASM-030(시팅),조립기(SIDEMEMBER조립기),2023-02-04,#1부시 조립기 직진피이더에서 부시안착 이상 에어스피드 콘트롤러 조정,#1부시 조립기 직진피이더,부시 안착 이상,에어스피드 콘트롤러 조정,윤동태,30,,"{'고장부품': '#1부시 조립기 직진피이더', '불량유형': '부시 안착 이상', '조치내용': '에어스피드 콘트롤러 조정'}","{'고장부품': '#1부시 조립기 직진피이더', '불량유형': '부시 안착 이상', '조치내용': '에어스피드 콘트롤러 조정'}"
M000000193,POP-039,파워프레스200TON PRESS (B4),2023-02-04,하형클램프 니플 누유 재조립,하형클램프 니플,누유,재조립,윤동태,20,,"{'고장부품': '하형클램프 니플', '불량유형': '누유', '조치내용': '재조립'}","{'고장부품': '하형클램프 니플', '불량유형': '누유', '조치내용': '재조립'}"
M000000194,POP-040,파워프레스200TON PRESS (B5),2023-02-04,QDC펌프 작동이상 오링 교체,QDC펌프,작동이상,오링 교체,윤동태,100,,"{'고장부품': 'QDC펌프', '불량유형': '작동이상', '조치내용': '오링 교체'}","{'고장부품': 'QDC펌프', '불량유형': '작동이상', '조치내용': '오링 교체'}"
Z000000001,Z000000001,기타,2023-02-04,와이어 검사기 작동불능 센서 각도조정,와이어 검사기 센서,작동불능,센서 각도조정,오정수,20,,"{'고장부품': '와이어 검사기', '불량유형': '작동불능', '조치내용': '센서 각도조정'}","{'고장부품': '와이어 검사기 센서', '불량유형': '작동불능', '조치내용': '센서 각도조정'}"
S000000005,BDS-001,벤드쇼,2023-02-06,FAN 벨트 노후 3EA 교체,FAN 벨트,노후,벨트 3EA 교체,송명호오정수,60,,"{'고장부품': 'FAN 벨트', '불량유형': '노후', '조치내용': '3EA 교체'}","{'고장부품': 'FAN 벨트', '불량유형': '노후', '조치내용': '벨트 3EA 교체'}"
M000000044,CLN-005,세척기(컨베어 자동세척라인),2023-02-06,자동폐수펌프 도작이상 관련릴레이코일 소손 수리,관련 릴레이 코일,도작 이상,릴레이 코일 수리,윤동태,60,,"{'고장부품': '자동폐수펌프', '불량유형': '도작이상', '조치내용': '소손 수리'}","{'고장부품': '관련 릴레이 코일', '불량유형': '도작 이상', '조치내용': '릴레이 코일 수리'}"
S000000011,CLT-002,쿨링타워100RT,2023-02-06,FAN 벨트 노후 3EA 교체,FAN 벨트,노후,벨트 3EA 교체,송명호오정수,60,12000.0,"{'고장부품': 'FAN 벨트', '불량유형': '노후', '조치내용': '3EA 교체'}","{'고장부품': 'FAN 벨트', '불량유형': '노후', '조치내용': '벨트 3EA 교체'}"
M000000579,HON-015,AAF 조립기 2라인,2023-02-06,기동이상 n24v tb box 터미널 볼트 풀림 조임,n24v tb box 터미널 볼트,풀림,볼트 조임,오정수윤동태,40,,"{'고장부품': 'n24v tb box 터미널 볼트', '불량유형': '풀림', '조치내용': '볼트 조임'}","{'고장부품': 'n24v tb box 터미널 볼트', '불량유형': '풀림', '조치내용': '볼트 조임'}"
M000000579,HON-015,AAF 조립기 2라인,2023-02-06,기동이상 n24v tb box 터미널 볼트 풀림 조임,n24v tb box 터미널 볼트,기동 이상,볼트 조임,오정수윤동태,40,,"{'고장부품': 'n24v tb box 터미널 볼트', '불량유형': '풀림', '조치내용': '볼트 조임'}","{'고장부품': 'n24v tb box 터미널 볼트', '불량유형': '기동 이상', '조치내용': '볼트 조임'}"
M000000126,HYP-019,유압프레스,2023-02-06,상부 실린더 오일 누유 크렉 용접 수리,상부 실린더,오일 누유,크렉 용접 수리,송명호윤동태오정수,40,,"{'고장부품': '상부 실린더', '불량유형': '오일 누유', '조치내용': '크렉 용접 수리'}","{'고장부품': '상부 실린더', '불량유형': '오일 누유', '조치내용': '크렉 용접 수리'}"
M000000196,POP-042,파워프레스250TON PRESS (P7)AMP,2023-02-06, 제품 취출부 아크릴 파손 교체,제품 취출부 아크릴,파손,아크릴 교체,송명호오정수,30,,"{'고장부품': '제품 취출부 아크릴', '불량유형': '파손', '조치내용': '아크릴 교체'}","{'고장부품': '제품 취출부 아크릴', '불량유형': '파손', '조치내용': '아크릴 교체'}"
S000000138,WWT-003,방지시설3반세척기 흡착탑,2023-02-06,모터FAN벨트 2EA 교체 및 건조히터 콘트롤러 이삳 콘트롤러 교체,"모터 FAN 벨트, 건조히터 콘트롤러",이상 작동,"모터 FAN 벨트 2EA 교체, 콘트롤러 교체",송명호오정수,40,35000.0,"{'고장부품': '모터FAN벨트, 건조히터 콘트롤러', '불량유형': '불량', '조치내용': '모터FAN벨트 2EA 교체 및 건조히터 콘트롤러 교체'}","{'고장부품': '모터 FAN 벨트, 건조히터 콘트롤러', '불량유형': '이상 작동', '조치내용': '모터 FAN 벨트 2EA 교체, 콘트롤러 교체'}"
Z000000002,Z000000002,수동대차 리프트,2023-02-06,2500ton 사출기 컨베어 전원 연결,2500ton 사출기 컨베어,전원 연결 문제,전원 연결 조치,윤동태,120,,"{'고장부품': '2500ton 사출기 컨베어 전원', '불량유형': '연결 문제', '조치내용': '전원 연결'}","{'고장부품': '2500ton 사출기 컨베어', '불량유형': '전원 연결 문제', '조치내용': '전원 연결 조치'}"
Z000000002,Z000000002,수동대차 리프트,2023-02-06,E4L CASE REAR 마킹기 전진이상 전진센서 조정 도장내무 이물 제거,E4L CASE REAR 마킹기 전진센서,전진이상,센서 조정 및 도장내 무 이물 제거,오정수,50,,"{'고장부품': 'E4L CASE REAR 마킹기 전진센서', '불량유형': '전진이상', '조치내용': '전진센서 조정 및 도장 내무 이물 제거'}","{'고장부품': 'E4L CASE REAR 마킹기 전진센서', '불량유형': '전진이상', '조치내용': '센서 조정 및 도장내 무 이물 제거'}"
M000000018,ASM-006 설비이전,조립기(TQ 자동조립기),2023-02-07,트랜스파 수동조작 리모콘 전선 경환 10M 교체,트랜스파 수동조작 리모콘 전선,경환,전선 10M 교체,윤동ㅌ태,120,6000.0,"{'고장부품': '트랜스파 수동조작 리모콘 전선', '불량유형': '경환', '조치내용': '10M 교체'}","{'고장부품': '트랜스파 수동조작 리모콘 전선', '불량유형': '경환', '조치내용': '전선 10M 교체'}"
S000000005,BDS-001,벤드쇼,2023-02-07,CN7인하우스 천정 전등 2EA 연결 콘넥트 교체,CN7인하우스 천정 전등,연결 문제,콘넥트 교체,윤동태,30,4000.0,"{'고장부품': 'CN7인하우스 천정 전등', '불량유형': '연결 오류', '조치내용': '콘넥트 교체'}","{'고장부품': 'CN7인하우스 천정 전등', '불량유형': '연결 문제', '조치내용': '콘넥트 교체'}"
S000000005,BDS-001,벤드쇼,2023-02-07,메니폴드 설비 에어건 고정부라켓 5EA 제작,메니폴드 설비 에어건 고정부라켓,변형,5EA 제작,윤동태오정수,130,,"{'고장부품': '메니폴드 설비 에어건 고정부라켓', '불량유형': '불량', '조치내용': '5EA 제작'}","{'고장부품': '메니폴드 설비 에어건 고정부라켓', '불량유형': '변형', '조치내용': '5EA 제작'}"
S000000005,BDS-001,벤드쇼,2023-02-07,메니폴드 인하우 판넬 이동,메니폴드 인하우 판넬,이동,판넬 위치 조정,오정수,50,,"{'고장부품': '메니폴드 인하우 판넬', '불량유형': '이동 불량', '조치내용': '이동'}","{'고장부품': '메니폴드 인하우 판넬', '불량유형': '이동', '조치내용': '판넬 위치 조정'}"
M000000044,CLN-005,세척기(컨베어 자동세척라인),2023-02-07,히터 온도센사 고장 교체,히터 온도센서,고장,온도센서 교체,송명호오정수,40,35000.0,"{'고장부품': '히터 온도센서', '불량유형': '고장', '조치내용': '센서 교체'}","{'고장부품': '히터 온도센서', '불량유형': '고장', '조치내용': '온도센서 교체'}"
M000000093,E-0407,파워프레스600TON PRESS (L2),2023-02-07,콘센트 리드선 탄화 콘센트 교체,콘센트 리드선,탄화,콘센트 교체,윤동태,30,3000.0,"{'고장부품': '콘센트 리드선', '불량유형': '탄화', '조치내용': '콘센트 교체'}","{'고장부품': '콘센트 리드선', '불량유형': '탄화', '조치내용': '콘센트 교체'}"
M000000115,E-0616 이관,조립기VQ 스페어타이어 조립,2023-02-07,작업등 스위치 파손 교체,작업등 스위치,파손,스위치 교체,오정수,30,4000.0,"{'고장부품': '작업등 스위치', '불량유형': '파손', '조치내용': '스위치 교체'}","{'고장부품': '작업등 스위치', '불량유형': '파손', '조치내용': '스위치 교체'}"
M000000530,HON-001,한온MX5 발란스 검사기,2023-02-07,TAM 외 프로그램 삭제 재 설치 작업,TAM 프로그램,프로그램 오류,프로그램 삭제 후 재설치,송명호윤동태,30,,"{'고장부품': 'TAM 외 프로그램', '불량유형': '삭제', '조치내용': '재 설치 작업'}","{'고장부품': 'TAM 프로그램', '불량유형': '프로그램 오류', '조치내용': '프로그램 삭제 후 재설치'}"
M000000643,ASM-035,삼성E5D INNER COVER조립기,2023-02-08,E4L INNER 2라인 리벳후 아디들 공정 모터 키이 이탈 길이증대교체,E4L INNER 2라인 리벳후 아디들 공정 모터 키이,이탈,길이증대 교체,송명호오정수윤동태,100,,"{'고장부품': 'E4L INNER 2라인 리벳후 아디들', '불량유형': '공정', '조치내용': '모터 키이 이탈 길이증대 교체'}","{'고장부품': 'E4L INNER 2라인 리벳후 아디들 공정 모터 키이', '불량유형': '이탈', '조치내용': '길이증대 교체'}"
